NAME,B2,B3,B4
Neutral_5,0.19438024484775798,0.195836227492203,0.1898553351045844
Neutral_3_5,0.08673960259599425,0.08748727987449233,0.08341499134601324
Cyan,0.4095445885377577,0.14867787135881505,0.07508089879771014
Red,0.04863409319109122,0.05250339848988615,0.6873926244252694
Purple,0.07658335618295484,0.05378035980816821,0.19002562173017326
Moderate_red,0.1131754635248838,0.10769693419261515,0.6060487786683538
White,0.8775819085461323,0.8999109332961169,0.9054761362937856
Purplish_blue,0.2567196008532086,0.09351714233753529,0.12090233349753757
Light_skin,0.2888196981345699,0.303505872907586,0.6102203665809882
Magenta,0.18893876949204577,0.11247860273996588,0.7695351714218999
Green,0.16724579203065812,0.2908818955065583,0.08669155527932094
Dark_skin,0.06641357239460395,0.09410907656198128,0.21423628158106878
Orange,0.0639937437864697,0.29181827883993366,0.6150752188350124
Foliage,0.09266897565001175,0.1497572605386975,0.1062257029140113
Bluish_green,0.5408776158665554,0.44698195875766156,0.22183803096409782
Neutral_6_5,0.3534606362606377,0.357284476477527,0.3478893905659329
Blue_sky,0.28216805212083734,0.1873856912446829,0.1133520855658479
Orange_yellow,0.11004089661456413,0.5007597134553973,0.6805535066995739
Blue,0.17749219941705385,0.04309480601341706,0.04272656883212577
Yellow,0.24527875325257392,0.6724253899760516,0.7818391460808387
Black,0.032552351688533106,0.03309979535578119,0.03604825876791585
Blue_flower,0.36283119503960265,0.20602497735790212,0.413125383508689
Yellow_green,0.22832065368684928,0.5256284149774965,0.3321562993509091
Neutral_8,0.5849827875522857,0.5931374798193152,0.589341531086486
