NAME,X,Y,Z
nonphotosyntheticvegetation.bark.pinus.coulteri.vswir.vh342.ucsb.asd.spectrum,0.0937284099709332,0.09553864030567447,0.0700241097318929
nonphotosyntheticvegetation.bark.pinus.coulteri.vswir.vh343.ucsb.asd.spectrum,0.07400295418447654,0.07643804155191497,0.06405234733527713
nonphotosyntheticvegetation.bark.pinus.coulteri.vswir.vh344.ucsb.asd.spectrum,0.06818434303191352,0.06981190479124656,0.06135349471326684
nonphotosyntheticvegetation.bark.pinus.lambertiana.vswir.vh317.ucsb.asd.spectrum,0.09784452475883514,0.09781459080217765,0.08152752842056432
nonphotosyntheticvegetation.bark.pinus.ponderosa.vswir.vh313.ucsb.asd.spectrum,0.2235975677962759,0.229963237217507,0.21313714468439393
nonphotosyntheticvegetation.bark.pinus.ponderosa.vswir.vh314.ucsb.asd.spectrum,0.16139703495927107,0.16726194451653603,0.15850713391835647
nonphotosyntheticvegetation.bark.pinus.strobus.vswir.pist-1-83.ucsb.asd.spectrum,0.09777470145132172,0.09317560408964608,0.06897285396997518
nonphotosyntheticvegetation.bark.pinus.strobus.vswir.pist-2-84.ucsb.asd.spectrum,0.10448535149379297,0.10623091300994687,0.08977701889481014
nonphotosyntheticvegetation.bark.quercus.rubra.vswir.quru-1-79.ucsb.asd.spectrum,0.10121776641650783,0.10661104197393137,0.09066648883780316
nonphotosyntheticvegetation.bark.quercus.rubra.vswir.quru-2-80.ucsb.asd.spectrum,0.061839897635691574,0.06496118161790655,0.04615549642265917
nonphotosyntheticvegetation.branches.adenostoma.fasciculatum.vswir.vh333.ucsb.asd.spectrum,0.14125611145663777,0.14281421969803096,0.11957223362304761
nonphotosyntheticvegetation.branches.adenostoma.fasciculatum.vswir.vh334.ucsb.asd.spectrum,0.15849864700592098,0.16016528105652797,0.13578980464974907
nonphotosyntheticvegetation.branches.ceanothus.megacarpus.vswir.vh331.ucsb.asd.spectrum,0.08520680592636402,0.08771143265468927,0.07920678299635772
nonphotosyntheticvegetation.branches.ceanothus.megacarpus.vswir.vh332.ucsb.asd.spectrum,0.11141089019455802,0.11526379240951565,0.09807092991876525
nonphotosyntheticvegetation.branches.foeniculum.vulgare.vswir.vh360.ucsb.asd.spectrum,0.20257778028538706,0.20945762405131158,0.1857121788305505
nonphotosyntheticvegetation.branches.foeniculum.vulgare.vswir.vh361.ucsb.asd.spectrum,0.18949803363145926,0.19623702072053079,0.17724322866470665
nonphotosyntheticvegetation.branches.salvia.leucophylla.vswir.vh290.ucsb.asd.spectrum,0.12428034973671495,0.12748407852315172,0.10634135534526187
nonphotosyntheticvegetation.branches.salvia.leucophylla.vswir.vh291.ucsb.asd.spectrum,0.1371235694289026,0.14121978257360288,0.11894633774319631
nonphotosyntheticvegetation.branches.salvia.leucophylla.vswir.vh292.ucsb.asd.spectrum,0.12849809997008912,0.13156116905593945,0.11315622488313945
nonphotosyntheticvegetation.flowers.calocedrus.decrruens.vswir.vh266.ucsb.asd.spectrum,0.17008516462535025,0.18740594084987458,0.08219542821748407
nonphotosyntheticvegetation.flowers.calocedrus.decrruens.vswir.vh267.ucsb.asd.spectrum,0.1477451425947759,0.16324030306944337,0.07299341060167959
nonphotosyntheticvegetation.flowers.calocedrus.decrruens.vswir.vh268.ucsb.asd.spectrum,0.3182432570894327,0.325994273553157,0.16340948419193232
nonphotosyntheticvegetation.flowers.calocedrus.decurrens.vswir.vh253.ucsb.asd.spectrum,0.17074361707874974,0.18444257609181447,0.07712047612027804
nonphotosyntheticvegetation.flowers.calocedrus.decurrens.vswir.vh266.ucsb.asd.spectrum,0.17008516462535025,0.18740594084987458,0.08219542821748407
nonphotosyntheticvegetation.flowers.calocedrus.decurrens.vswir.vh267.ucsb.asd.spectrum,0.1477451425947759,0.16324030306944337,0.07299341060167959
nonphotosyntheticvegetation.flowers.calocedrus.decurrens.vswir.vh268.ucsb.asd.spectrum,0.3182432570894327,0.325994273553157,0.16340948419193232
nonphotosyntheticvegetation.leaves.avena.fatua.vswir.vh354.ucsb.asd.spectrum,0.2713131926957636,0.2744601307547377,0.14345644238820587
nonphotosyntheticvegetation.leaves.avena.fatua.vswir.vh355.ucsb.asd.spectrum,0.22513168420407695,0.2297372149874945,0.11454498964840634
nonphotosyntheticvegetation.leaves.none.none.vswir.ll-1-87y.ucsb.asd.spectrum,0.14668350406899083,0.1451293576064612,0.10100283274605025
nonphotosyntheticvegetation.leaves.none.none.vswir.ll-2-89z.ucsb.asd.spectrum,0.1903206103993445,0.1916345442893908,0.12927550367877128
nonphotosyntheticvegetation.leaves.none.none.vswir.vh356.ucsb.asd.spectrum,0.11615225932628771,0.1178050262818146,0.0899651805980401
nonphotosyntheticvegetation.leaves.none.none.vswir.vh357.ucsb.asd.spectrum,0.2144700041206368,0.21420325793137238,0.12607988195720166
nonphotosyntheticvegetation.leaves.none.none.vswir.vh358.ucsb.asd.spectrum,0.12225627124991272,0.12412960061960981,0.09173866534904321
nonphotosyntheticvegetation.leaves.none.none.vswir.vh359.ucsb.asd.spectrum,0.2170533956003216,0.21400310693476265,0.1353057668608329
nonphotosyntheticvegetation.leaves.quercus.species.vswir.vh318.ucsb.asd.spectrum,0.28164769866686334,0.28682686676992164,0.19910746492438655
nonphotosyntheticvegetation.leaves.quercus.species.vswir.vh319.ucsb.asd.spectrum,0.1993968797079095,0.2013695451295739,0.12469416455865713
nonphotosyntheticvegetation.leaves.quercus.species.vswir.vh320.ucsb.asd.spectrum,0.28457368173448244,0.28903460179396745,0.20180892358540414
nonphotosyntheticvegetation.lichen.lichen.species.vswir.vh296.ucsb.asd.spectrum,0.14369475058747563,0.1603777094982908,0.05012031142101469
nonphotosyntheticvegetation.lichen.lichen.species.vswir.vh297.ucsb.asd.spectrum,0.13579630003853876,0.15255798283878028,0.04135673257035849
nonphotosyntheticvegetation.lichen.lichen.species.vswir.vh298.ucsb.asd.spectrum,0.15284169558909796,0.17432573888075134,0.046519814763483665
nonphotosyntheticvegetation.lichen.lichen.species.vswir.vh307.ucsb.asd.spectrum,0.04170802139150178,0.04164511015244691,0.03276878924307445
nonphotosyntheticvegetation.needles.abies.concolor.vswir.vh325.ucsb.asd.spectrum,0.1420334725449759,0.13959755419599035,0.09235721530471212
nonphotosyntheticvegetation.needles.abies.concolor.vswir.vh326.ucsb.asd.spectrum,0.1433631862384276,0.14234560977663374,0.095449774523221
nonphotosyntheticvegetation.needles.abies.concolor.vswir.vh327.ucsb.asd.spectrum,0.15790248309256535,0.15553569416855897,0.10487634864945494
nonphotosyntheticvegetation.needles.pinus.coulteri.vswir.vh339.ucsb.asd.spectrum,0.1725960590594868,0.1674857488878281,0.10523850549548507
nonphotosyntheticvegetation.needles.pinus.coulteri.vswir.vh340.ucsb.asd.spectrum,0.12613026922639206,0.12306159879197018,0.08068742325856357
nonphotosyntheticvegetation.needles.pinus.coulteri.vswir.vh341.ucsb.asd.spectrum,0.1057070005624251,0.10467626621845987,0.06897991031589173
nonphotosyntheticvegetation.needles.pinus.lambertiana.vswir.vh328.ucsb.asd.spectrum,0.17044903188284588,0.15794569910210504,0.09553451307698502
nonphotosyntheticvegetation.needles.pinus.lambertiana.vswir.vh329.ucsb.asd.spectrum,0.1611871705604386,0.14882805021355705,0.08631775540828267
nonphotosyntheticvegetation.needles.pinus.lambertiana.vswir.vh330.ucsb.asd.spectrum,0.17535776596304073,0.1663476580373807,0.09974464222022221
nonphotosyntheticvegetation.needles.pinus.ponderosa.vswir.vh322.ucsb.asd.spectrum,0.18544292225227843,0.17790485511696133,0.10387290899121958
nonphotosyntheticvegetation.needles.pinus.ponderosa.vswir.vh323.ucsb.asd.spectrum,0.21273054619927953,0.20360328230406036,0.12353231571402896
nonphotosyntheticvegetation.needles.pinus.ponderosa.vswir.vh324.ucsb.asd.spectrum,0.14375392752575997,0.13670276565308986,0.0806285560323992
vegetation.grass.avena.fatua.vswir.vh352.ucsb.asd.spectrum,0.14995872537785215,0.17920542818346322,0.11373007380895192
vegetation.grass.avena.fatua.vswir.vh353.ucsb.asd.spectrum,0.1327492716047473,0.1604591459339597,0.08807984209089394
vegetation.grass.bromus.diandrus.vswir.vh350.ucsb.asd.spectrum,0.16156986342504656,0.19188959495745106,0.11518728008435103
vegetation.grass.bromus.diandrus.vswir.vh351.ucsb.asd.spectrum,0.13274900672774095,0.16076457904543837,0.0901913365192595
vegetation.grass.unknown.unknown.all.grass.jhu.becknic.spectrum,0.0697149924258965,0.08387704341000128,0.04597669377395441
vegetation.shrub.adenostoma.fasciculatum.vswir.vh033.ucsb.asd.spectrum,0.04612414292364354,0.053827105745929256,0.030224758606712077
vegetation.shrub.adenostoma.fasciculatum.vswir.vh034.ucsb.asd.spectrum,0.06417949640785464,0.07290599566167393,0.03406240702027926
vegetation.shrub.adenostoma.fasciculatum.vswir.vh041.ucsb.asd.spectrum,0.04590126773396303,0.05457264278333121,0.030050939881411345
vegetation.shrub.adenostoma.fasciculatum.vswir.vh042.ucsb.asd.spectrum,0.07433030848919751,0.09137317238892476,0.03396194688521859
vegetation.shrub.adenostoma.fasciculatum.vswir.vh043.ucsb.asd.spectrum,0.031610525658616585,0.03887605043217657,0.016727578531335073
vegetation.shrub.adenostoma.fasciculatum.vswir.vh044.ucsb.asd.spectrum,0.08880882310125428,0.10527777092472791,0.04437581744737509
vegetation.shrub.adenostoma.fasciculatum.vswir.vh111.ucsb.asd.spectrum,0.043510188859424176,0.051374152874000746,0.027260475485859515
vegetation.shrub.adenostoma.fasciculatum.vswir.vh112.ucsb.asd.spectrum,0.05811557957450798,0.06819224852132107,0.03464799427810221
vegetation.shrub.adenostoma.fasciculatum.vswir.vh113.ucsb.asd.spectrum,0.03802048256272855,0.04539538181487788,0.02366733926032433
vegetation.shrub.adenostoma.fasciculatum.vswir.vh114.ucsb.asd.spectrum,0.06588192354173851,0.07844126405815832,0.03738421306872219
vegetation.shrub.adenostoma.fasciculatum.vswir.vh115.ucsb.asd.spectrum,0.029906381843453043,0.034911698650593556,0.019090061519231153
vegetation.shrub.adenostoma.fasciculatum.vswir.vh116.ucsb.asd.spectrum,0.06230107916835153,0.07430650223302328,0.034706341485974714
vegetation.shrub.adenostoma.fasciculatum.vswir.vh217.ucsb.asd.spectrum,0.06792789847823458,0.07094088602086879,0.03934631651976913
vegetation.shrub.adenostoma.fasciculatum.vswir.vh218.ucsb.asd.spectrum,0.04547635267354655,0.054032446127289455,0.026599400116278798
vegetation.shrub.adenostoma.fasciculatum.vswir.vh219.ucsb.asd.spectrum,0.058764963069219876,0.06148551774622043,0.03603749007516961
vegetation.shrub.adenostoma.fasciculatum.vswir.vh220.ucsb.asd.spectrum,0.04688263347399664,0.054096127526628436,0.030393151605122112
vegetation.shrub.adenostoma.fasciculatum.vswir.vh221.ucsb.asd.spectrum,0.05311798640210239,0.056705918135347824,0.0319435639818356
vegetation.shrub.adenostoma.fasciculatum.vswir.vh222.ucsb.asd.spectrum,0.05740954806141783,0.06651537051781692,0.03313342219123104
vegetation.shrub.agave.attenuata.vswir.jpl060.jpl.asd.spectrum,0.15524171338646067,0.18340536526852894,0.12780528745693082
vegetation.shrub.agave.attenuata.vswir.jpl061.jpl.asd.spectrum,0.1714368932509679,0.19965835616965996,0.16302410952152865
vegetation.shrub.agave.attenuata.vswir.jpl062.jpl.asd.spectrum,0.12818946431408168,0.15202591111154415,0.10890637907404989
vegetation.shrub.agave.attenuata.vswir.jpl063.jpl.asd.spectrum,0.14993473587016556,0.1815351795538327,0.09514963632033406
vegetation.shrub.agave.attenuata.vswir.jpl106.jpl.asd.spectrum,0.14375513288332412,0.176011910647567,0.08464893964254709
vegetation.shrub.aloe.arborescens.vswir.jpl075.jpl.asd.spectrum,0.12487766996457807,0.1446252776780992,0.1008004011930531
vegetation.shrub.aloe.arborescens.vswir.jpl076.jpl.asd.spectrum,0.10861764169378837,0.12618530488599636,0.09389860523445814
vegetation.shrub.aloe.arborescens.vswir.jpl077.jpl.asd.spectrum,0.12788924175078004,0.1458436579710576,0.12094575066417802
vegetation.shrub.aloe.arborescens_flower.vswir.jpl072.jpl.asd.spectrum,0.08697698853316262,0.06095489611480306,0.024383107488646565
vegetation.shrub.aloe.arborescens_flower.vswir.jpl073.jpl.asd.spectrum,0.20575935411195104,0.14168753260842754,0.061174746735097575
vegetation.shrub.aloe.arborescens_flower.vswir.jpl074.jpl.asd.spectrum,0.16723288972056347,0.12341241262280145,0.053820841716497585
