NAME,B2,B3,B4
Black,0.032552402989009785,0.03308692304022451,0.0360888472383839
Blue,0.18019752520072949,0.04321610393053296,0.042736178564967385
Blue_flower,0.36431761466460594,0.20621493561038834,0.4188315490148447
Blue_sky,0.2832175678492027,0.1879719506968059,0.11300782711013879
Bluish_green,0.5390107730115938,0.45000084285675457,0.22224246856115437
Cyan,0.40981525737007163,0.15131710490724093,0.07517629233664697
Dark_skin,0.06624985018771472,0.09367503768218441,0.2157275605058121
Foliage,0.09182415326149944,0.1507704949061317,0.1064411705629111
Green,0.1648273806285319,0.2935371008095631,0.08666202772152923
Light_skin,0.2878699199291485,0.30259132465558536,0.6118666500984936
Magenta,0.19038298003951523,0.11193968509827926,0.7714632447092774
Moderate_red,0.11347568780495179,0.10675157916742656,0.606157403752395
Neutral_3_5,0.08674479030354817,0.08748189388043946,0.08337697529096842
Neutral_5,0.19438174137525338,0.1958217275697184,0.18980429615016267
Neutral_6_5,0.353445773888284,0.3572757812441285,0.347830240717876
Neutral_8,0.5849295379431684,0.5930807522905687,0.5893887878938627
Orange,0.06372369947966124,0.28719148178144854,0.615713133184036
Orange_yellow,0.10901528972303176,0.49584206933727965,0.6811180649646656
Purple,0.07724791312577257,0.05377120328790929,0.19205019886780292
Purplish_blue,0.25920018236504133,0.09392783165591916,0.12162543060967408
Red,0.048680334400029966,0.05221695655579561,0.6882210703166409
White,0.8772540141945571,0.8998141987455347,0.9056387653670533
Yellow,0.24132322805005135,0.6699030489286572,0.7822390669885168
Yellow_green,0.2242695024941056,0.5268119085124936,0.3327720547452013
