NAME,x,y,Y
Black,0.3180033228711783,0.3294272575858822,0.03334553469190679
Blue,0.19243145326460268,0.14723981668547742,0.061773370282969045
Blue_flower,0.2688022693971011,0.25616500205710757,0.24890153557044514
Blue_sky,0.24922038419636383,0.26656566768499146,0.1965331357641216
Bluish_green,0.26570765585781625,0.3636728995256922,0.4378762916674115
Cyan,0.19792099974574082,0.2762997978477098,0.19933089232311477
Dark_skin,0.3984543321083009,0.35790336824487545,0.10279344032708487
Foliage,0.3387100542206839,0.426224960137041,0.13601598742984658
Green,0.30992120512493165,0.48942976721165987,0.23959201680768974
Light_skin,0.3792555461159725,0.3559100243510616,0.35438344714076764
Magenta,0.3678220153309925,0.2456973025458475,0.19021311352890727
Moderate_red,0.4583564342284419,0.31099585815498076,0.1892310769093463
Neutral_3_5,0.3127166830722667,0.32918655566171656,0.08725816660182617
Neutral_5,0.31335342217148743,0.3298849203473464,0.19546741601388348
Neutral_6_5,0.31377091056866535,0.3309538222971976,0.35610848210160284
Neutral_8,0.31516023290123224,0.3320781831971201,0.5917318391229437
Orange,0.5090053481462467,0.404759566034847,0.2924170805224935
Orange_yellow,0.4768058480805955,0.43863835963644704,0.42469886202424545
Purple,0.2858067633442593,0.2188560170193169,0.06375242523663488
Purplish_blue,0.2158607797274942,0.19230558458634436,0.12145931685314475
Red,0.5326702559887518,0.3160014321632144,0.11673640726146538
White,0.31811578594912965,0.33700566790754216,0.896549121045913
Yellow,0.4483162199930141,0.47458115355450503,0.6019073130052613
Yellow_green,0.3814811347868563,0.4944167887822995,0.4393684930555549
