NAME,B2,B3,B4
Black,3.610210695762335,3.318368161198225,2.9020838761808987
Blue,19.684729474569785,4.320402306141748,3.439724711547127
Blue_flower,40.23970598565473,20.65471154511651,33.258874500443255
Blue_sky,31.29377961740053,18.786059098153036,9.125468777008107
Bluish_green,59.98590125172806,44.8114764646839,17.859186401469803
Cyan,45.42044360043668,14.905467217810035,6.044426922610052
Dark_skin,7.365581193546938,9.434758130264411,17.24720360204284
Foliage,10.277430345373851,15.013679690109752,8.551755624244196
Green,18.548354140048723,29.16190901915535,6.97914887919864
Light_skin,32.03147881077897,30.42750610895548,49.126108924519066
Magenta,20.954208561977342,11.276366217266517,61.95183039257563
Moderate_red,12.551697426497284,10.79698752339915,48.79027306356196
Neutral_3_5,9.619834660011445,8.770900270676368,6.7153673905739675
Neutral_5,21.557694071039332,19.633254379193474,15.28440278797385
Neutral_6_5,39.20046642923872,35.818995812199944,28.00701685914368
Neutral_8,64.87737465683838,59.46406940253174,47.44524738188174
Orange,7.097210686660477,29.25578466420845,49.51695133769503
Orange_yellow,12.204059040966905,50.20288106557445,54.788315058064306
Purple,8.493458606447586,5.391665772158312,15.29811180159452
Purplish_blue,28.471425280729257,9.375414691345473,9.73330542522998
Red,5.393752349973205,5.263646014449181,55.33890179810151
White,97.32800944629817,90.21916168561567,72.89582868128916
Yellow,27.202580842957104,67.41295469937407,62.94236829068973
Yellow_green,25.321846909575942,52.69605380136486,26.74041614393128
