wl,value
816,0.55251
817,0.55268
818,0.55285
819,0.55306
820,0.5533
821,0.55341
822,0.5536
823,0.55376
824,0.55365
825,0.55396
826,0.55424
827,0.55424
828,0.55429
829,0.5545
830,0.55468
