wl,value
817,0.65907
818,0.6591
819,0.65912
820,0.65908
821,0.65916
822,0.65926
823,0.65929
824,0.65922
825,0.65908
826,0.65901
827,0.65901
828,0.65889
829,0.65881
830,0.65878
